name,country,region,gender,image_url,college
Aaron  Draplin,United States,North America,M,images/aaron_draplin.jpg,Central Saint Martins
Abbott Miller,United States,North America,M,images/abbott_miller.jpg,Central Saint Martins
Abdulkader Arnaout,Syria,Asia,M,images/abdulkader_arnaout.jpg,Central Saint Martins
Abdulkader Arnaout,Syria,Asia,M,images/abdulkader_arnaout.jpg,Central Saint Martins
Abram Games,United Kingdom,Europe,M,images/abram_games.jpg,Central Saint Martins
Abram Games,United Kingdom,Europe,M,images/abram_games.jpg,Central Saint Martins
Abram Games,United Kingdom,Europe,M,images/abram_games.jpg,Central Saint Martins
Abram Games,United Kingdom,Europe,M,images/abram_games.jpg,Central Saint Martins
Abram Games,United Kingdom,Europe,M,images/abram_games.jpg,Central Saint Martins
Alan Aldridge,United Kingdom,Europe,M,images/alan_aldridge.jpg,Central Saint Martins
Alan Kitching,United Kingdom,Europe,M,images/alan_kitching.jpg,Central Saint Martins
Alex Jordan,France,Europe,M,images/alex_jordan.jpg,Central Saint Martins
Alex Trochut,Spain,Europe,M,images/alex_trochut.jpg,Central Saint Martins
Alex Wollner,Brazil,South America,M,images/alex_wollner.jpg,Central Saint Martins
Alexander Girard,United States,North America,M,images/alexander_girard.jpg,Central Saint Martins
Alexey Brodovitch,Russia,Europe,M,images/alexey_brodovitch.jpg,Central Saint Martins
Alvin Lustig,United States,North America,M,images/alvin_lustig.jpg,Central Saint Martins
Anthony Burrill,United Kingdom,Europe,M,images/anthony_burrill.jpg,Central Saint Martins
Anton Stankowski,Germany,Europe,M,images/anton_stankowski.jpg,Central Saint Martins
Armando Testa,Italy,Europe,M,images/armando_testa.jpg,Central Saint Martins
Arnold Schwartzman,United Kingdom,Europe,M,images/arnold_schwartzman.jpg,Central Saint Martins
Art Chantry,United States,North America,M,images/art_chantry.jpg,Central Saint Martins
Art Chantry,United States,North America,M,images/art_chantry.jpg,Central Saint Martins
Barney Bubbles,United Kingdom,Europe,M,images/barney_bubbles.jpg,Central Saint Martins
Barney Bubbles,United Kingdom,Europe,M,images/barney_bubbles.jpg,Central Saint Martins
Ben Bos,Netherlands,Europe,M,images/ben_bos.jpg,Central Saint Martins
